"event","experiment time","system time","system time text"
"START",0.000000000E0,1772998294.556,"2026-03-08 15:31:34.556 UTC-04:00"
"PAUSE",2.455304883E0,1772998297.011,"2026-03-08 15:31:37.011 UTC-04:00"
"START",2.455304883E0,1772998390.004,"2026-03-08 15:33:10.004 UTC-04:00"
"PAUSE",1.709648005E2,1772998558.514,"2026-03-08 15:35:58.514 UTC-04:00"
