"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.260146313E1,-3.060007580E0,7.245197207E0,1.662606508E0,8.038705701E0
3.261141713E1,-2.899256220E0,7.932820412E0,8.527297179E-1,8.488961909E0
3.262137213E1,-2.301328133E0,9.049022890E0,-5.954950601E-3,9.337074590E0
3.263132612E1,-1.452612529E0,1.020505543E1,-1.323186164E0,1.039250024E1
3.264128013E1,-4.404380107E-1,1.131336358E1,-2.851544402E0,1.167550798E1
3.265123413E1,3.951219432E-2,1.231011739E1,-4.277691994E0,1.303223695E1
3.266118812E1,2.430963828E-1,1.293647931E1,-5.842493441E0,1.419670111E1
3.267114213E1,1.802232828E-1,1.252105686E1,-7.240629362E0,1.446499426E1
3.268109613E1,-1.908078761E-1,9.990598272E0,-7.331856451E0,1.239373150E1
3.269105013E1,-5.300344941E-1,5.661565386E0,-7.376315171E0,9.313661186E0
3.270100412E1,-1.172856881E0,8.173454386E-1,-6.417325026E0,6.574626021E0
3.271095813E1,-1.139093596E0,-4.941472592E0,-4.439136249E0,6.739556086E0
3.272091313E1,-1.156084070E-1,-1.389387083E1,-3.408041165E0,1.430621391E1
3.273086712E1,1.000828259E1,-2.267098825E1,2.859251324E0,2.494623713E1
3.274082113E1,1.367615092E1,-2.548671261E1,-9.375250161E0,3.040567281E1
3.275077513E1,-7.266206253E0,-1.810381230E1,-1.481067565E1,2.449289461E1
3.276072913E1,-7.911651737E0,-1.112477918E1,1.871136198E0,1.377882781E1
3.277068312E1,-8.365750305E-1,-9.896765664E0,6.150599606E0,1.168228162E1
3.278063713E1,1.307962500E0,-1.147803287E1,3.559652450E0,1.208830551E1
3.279059113E1,1.595595224E0,-1.280639163E1,8.665272465E-1,1.293446791E1
3.280054512E1,1.390770476E0,-1.505041383E1,3.806142703E-1,1.511932757E1
3.281050013E1,2.521559710E0,-2.165910653E1,-2.578424174E0,2.195730927E1
3.282045413E1,7.395099351E-1,-2.711055690E1,-1.843340582E0,2.718321311E1
3.283040813E1,-2.575837951E0,-2.540239342E1,-2.819141471E0,2.568781990E1
3.284036212E1,-3.395291603E0,-1.857371560E1,-5.615909157E0,1.969896830E1
3.285031613E1,-2.032228598E0,-1.164813305E1,-7.297168429E0,1.389451776E1
3.286027013E1,-8.327458352E-3,-6.388816341E0,-7.554904339E0,9.894120636E0
3.287022412E1,1.199339725E0,-1.928373131E0,-7.593448015E0,7.925748638E0
3.288017813E1,1.374042907E0,2.221224495E0,-7.009292461E0,7.480107818E0
3.289013213E1,1.349277318E0,5.422364565E0,-5.539496573E0,7.868202402E0
3.290008712E1,6.082248871E-1,8.598569183E0,-2.847682900E0,9.078250240E0
3.291004113E1,-4.941689524E-1,1.238812626E1,1.556795440E0,1.249533862E1
3.291999513E1,-1.672324142E-1,1.412231453E1,3.067484415E0,1.445258437E1
3.292994913E1,1.288340852E0,1.213431968E1,2.968374475E-1,1.220613160E1
3.293990312E1,1.034412356E0,9.351319261E0,-9.607583427E-1,9.457284887E0
