"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.001382458E0,8.474345525E-1,1.046645755E1,3.020931807E0,1.092661466E1
4.011407458E0,6.829997387E-1,1.047740353E1,2.888388877E0,1.088968612E1
4.021432458E0,4.178489010E-1,1.043681216E1,2.734041095E0,1.079706564E1
4.031457458E0,1.627120414E-1,1.035967803E1,2.606148455E0,1.068369851E1
4.041482458E0,-1.134781202E-1,1.021896596E1,2.472370008E0,1.051440707E1
4.051507458E0,-4.450383076E-1,9.951665171E0,2.343475156E0,1.023355142E1
4.061532458E0,-6.968007756E-1,9.602775262E0,2.161361578E0,9.867639430E0
4.071557458E0,-1.578786087E0,9.462280118E0,-1.832088054E0,9.766465952E0
4.081582458E0,-5.233581360E0,8.812794208E0,-9.383128699E0,1.389600014E1
4.091607458E0,-4.363896032E0,6.706639994E0,-5.720777800E0,9.836153070E0
4.101631458E0,-4.154097935E0,1.816694820E0,-6.794024878E0,8.167966929E0
4.111656458E0,-1.259200580E1,-3.735883846E1,-8.200616106E1,9.099039440E1
4.121681458E0,-1.282071146E1,-3.738094561E1,-8.197330439E1,9.100180421E1
4.131706458E0,-1.284916284E1,-3.739346099E1,-8.194784795E1,9.098803050E1
4.141731458E0,-1.290482833E1,-3.739253713E1,-8.195676378E1,9.100355794E1
4.151756458E0,-1.303989317E1,-3.736781510E1,-8.203387218E1,9.108209816E1
4.161781458E0,-1.322403485E1,-3.732825050E1,-8.216388619E1,9.120952570E1
4.171806458E0,7.781207373E0,-5.224020578E0,1.370604540E1,1.660401336E1
4.181831458E0,2.952559437E0,-4.194264506E0,9.600231138E0,1.088457164E1
4.191856458E0,-4.124282690E0,-8.049971716E0,7.051239216E0,1.146872821E1
4.201881333E0,-5.696951566E0,-1.579554674E1,1.145201744E0,1.683050923E1
4.211905333E0,-5.366838820E0,-1.577307706E1,1.139691328E0,1.670005435E1
4.221930333E0,-5.156960616E0,-1.572367511E1,1.025316574E0,1.657948961E1
4.231955333E0,-5.249276456E0,-1.563185628E1,7.558739528E-1,1.650700395E1
4.241980333E0,-5.471732606E0,-1.554210035E1,4.410844204E-1,1.648306089E1
4.252005333E0,-5.703440806E0,-1.547376745E1,1.422343978E-1,1.649202676E1
4.262030333E0,-5.903255367E0,-1.542489525E1,-1.257867649E-1,1.651640517E1
4.272055333E0,1.016692735E0,-7.173781654E0,-1.663412693E0,7.433959182E0
4.282080333E0,-1.251948367E0,-4.777563443E0,-1.339394646E0,5.117271264E0
4.292105333E0,-8.488735523E-1,-3.148748433E0,-3.478755637E-1,3.279667729E0
4.302130333E0,-2.538632264E-1,-3.890398157E-1,9.719841197E-2,4.746009347E-1
4.312154333E0,-1.540586373E-1,1.992916451E0,-6.491007252E-1,2.101614093E0
4.322179333E0,-5.418614745E-3,3.660619538E0,-1.420986840E0,3.926750357E0
4.332204333E0,2.309028185E-1,5.053240950E0,-1.843243518E0,5.383874709E0
4.342229333E0,6.843654290E-2,6.282345561E0,-1.970173998E0,6.584385688E0
4.352254333E0,-4.277273333E-1,7.556719900E0,-1.898891762E0,7.803381077E0
4.362279333E0,-9.145717710E-1,9.141909419E0,-3.001167634E0,9.665296504E0
4.372304333E0,-1.475789137E0,1.059826548E1,-4.106206023E0,1.146133119E1
4.382329333E0,-1.629481300E0,1.117143061E1,-3.795115439E0,1.191045643E1
4.392354333E0,-1.348566296E0,1.105093704E1,-2.575973314E0,1.142705032E1
4.402379333E0,-1.252738910E0,1.075171981E1,-1.952283565E0,1.099910200E1
4.412403333E0,-1.570809900E0,1.055987266E1,-2.035171501E0,1.086831530E1
4.422428333E0,-1.544905565E0,1.027057816E1,-2.388371393E0,1.065719601E1
4.432453333E0,-2.307467709E0,1.032987594E1,-2.597621168E0,1.089854944E1
4.442478333E0,-2.145666189E0,1.022709593E1,-9.627653995E-1,1.049401218E1
4.452503333E0,-1.733001576E0,1.002032902E1,1.245337358E0,1.024505507E1
4.462528333E0,-1.318690971E0,9.904699166E0,2.841010935E0,1.038813528E1
4.472553333E0,-9.004955495E-1,9.903953061E0,3.890331498E0,1.067866366E1
4.482578333E0,-7.336574569E-1,9.967523990E0,4.234623742E0,1.085457627E1
4.492603333E0,-5.339553080E-1,1.002954891E1,4.315841860E0,1.093176338E1
4.502628333E0,-5.179628809E-1,1.003304321E1,4.752187404E0,1.111366397E1
4.512653333E0,-4.330526850E-1,1.004781912E1,4.970740246E0,1.121848753E1
4.522678333E0,-1.780269590E-1,1.014321645E1,4.925436019E0,1.127725381E1
4.532702333E0,1.145854732E-1,1.016397874E1,4.721152723E0,1.120753660E1
4.542727333E0,2.098738921E-1,1.014013029E1,4.496955564E0,1.109454364E1
4.552752333E0,1.569722318E-1,1.006445211E1,4.378318190E0,1.097668014E1
4.562777333E0,6.001947597E-2,1.004370035E1,4.302556694E0,1.092664235E1
4.572802333E0,-1.023394302E-1,1.007787732E1,4.234717882E0,1.093192207E1
4.582827333E0,-3.774469797E-1,1.011635434E1,4.112362848E0,1.092678450E1
4.592852333E0,-7.561550577E-1,1.013914211E1,3.915003240E0,1.089500911E1
4.602877333E0,-1.150747243E0,1.006863170E1,3.583944415E0,1.074924282E1
4.612902333E0,-1.384529888E0,9.815552516E0,3.211834627E0,1.042007082E1
4.622927333E0,-1.509461498E0,9.343557082E0,2.897687119E0,9.898339437E0
4.632951333E0,-1.678745846E0,9.082050303E0,2.664078575E0,9.612447137E0
4.642976333E0,-1.681481905E0,9.017497627E0,2.592137065E0,9.532146631E0
4.653001333E0,-1.504042006E0,8.924518712E0,2.496308509E0,9.388329604E0
4.663026333E0,-2.839842954E0,8.630064626E0,-5.685941259E0,1.071786599E1
4.673051333E0,-1.085583767E1,2.618237574E0,-1.855707443E1,2.165800985E1
4.683076333E0,-1.002933374E1,-1.835362641E1,-1.863700470E1,2.801394441E1
4.693101333E0,-1.016838403E1,-1.839583629E1,-1.856170191E1,2.804174753E1
4.703126333E0,-1.041281519E1,-1.847037191E1,-1.844752684E1,2.810502812E1
4.713151333E0,-1.066298831E1,-1.857745314E1,-1.827510999E1,2.815671732E1
4.723176333E0,-1.089319787E1,-1.868620902E1,-1.811666448E1,2.821435272E1
4.733201333E0,-1.109274229E1,-1.877713790E1,-1.800588080E1,2.828147065E1
4.743225333E0,-1.123264394E1,-1.883525805E1,-1.795005977E1,2.833979325E1
4.753250333E0,4.694417206E0,-7.934867522E0,9.837802341E0,1.348265665E1
4.763275333E0,1.514755860E0,-7.999452943E0,9.733179281E0,1.268938579E1
4.773300333E0,1.418824101E0,-1.229268333E1,6.847798796E0,1.414268269E1
4.783325333E0,3.543039048E0,-1.759044548E1,2.571779691E0,1.812707778E1
4.793350333E0,3.621676205E0,-1.745259152E1,2.239761045E0,1.796457678E1
4.803375333E0,3.615924007E0,-1.733428949E1,1.878207529E0,1.780674485E1
4.813400333E0,3.601954424E0,-1.725970591E1,1.615392434E0,1.770539513E1
4.823425333E0,3.594493377E0,-1.721511972E1,1.444138013E0,1.764557351E1
4.833450333E0,4.038961873E0,-7.892096309E0,-1.465608696E0,8.985900401E0
4.843474333E0,3.623691448E0,-4.250411809E0,1.033979516E0,5.680339241E0
4.853499333E0,1.908962713E0,-1.851819044E0,1.594263228E0,3.100814031E0
4.863524333E0,2.219003722E-2,5.986718524E-1,1.225123826E0,1.363755394E0
4.873549333E0,-4.626416427E-1,3.254225187E0,5.323353370E-1,3.329774732E0
4.883574333E0,-1.204466344E0,5.598142977E0,-3.297610357E-2,5.726345378E0
4.893599333E0,-1.513207517E0,7.485873865E0,-6.537757203E-1,7.665215405E0
4.903624333E0,-1.404861827E0,9.094532354E0,-1.139354382E0,9.272663258E0
4.913649333E0,-1.736861615E0,1.027172655E1,-1.544750322E0,1.053144379E1
4.923674333E0,-1.745294908E0,1.081571875E1,-1.942201796E0,1.112645381E1
4.933699333E0,-1.754556898E0,1.103833161E1,-2.275322495E0,1.140615304E1
4.943724333E0,-1.742455354E0,1.107105497E1,-2.361351264E0,1.145340074E1
4.953748333E0,-1.826701452E0,1.094615610E1,-2.226605687E0,1.131869889E1
4.963773333E0,-2.040549770E0,1.083370128E1,-2.073979325E0,1.121758963E1
4.973798333E0,-2.097806583E0,1.090247740E1,-2.561080456E0,1.139403085E1
4.983823333E0,-2.312892902E0,1.105221758E1,-3.489034749E0,1.181839035E1
4.993848333E0,-3.001605882E0,1.105971955E1,-4.772766387E0,1.241395720E1
5.003873333E0,-2.998565623E0,1.103853977E1,-4.627557803E0,1.233916720E1
5.013898333E0,-3.040371460E0,1.091680308E1,-3.114727578E0,1.175253062E1
5.023923333E0,-3.000764468E0,1.059071088E1,-1.237912710E0,1.107701098E1
5.033948333E0,-2.769144269E0,1.022314672E1,6.900464375E-1,1.061400268E1
5.043973333E0,-2.408891466E0,9.971679021E0,2.373727626E0,1.052956426E1
5.053998333E0,-2.189339774E0,9.901803625E0,3.149072661E0,1.061864315E1
5.064022333E0,-2.038104903E0,9.901652766E0,3.407411127E0,1.066803870E1
5.074047333E0,-1.847725555E0,9.914648788E0,3.434898888E0,1.065424238E1
5.084072333E0,-1.451888351E0,9.908919686E0,3.165304824E0,1.050303879E1
5.094097333E0,-1.366717662E0,9.886467547E0,3.316148662E0,1.051698625E1
5.104122333E0,-1.453129276E0,9.756413777E0,3.429424432E0,1.044318660E1
5.114147333E0,-1.488827405E0,9.443844432E0,3.319382465E0,1.012033125E1
5.124172333E0,-1.662622588E0,9.143365375E0,3.212854089E0,9.832999322E0
5.134197333E0,-1.749966833E0,9.007514091E0,3.105555928E0,9.687216919E0
5.144222333E0,-1.584183798E0,8.913523023E0,3.189038672E0,9.598463347E0
5.154247333E0,-1.423374550E0,8.775756190E0,3.450613572E0,9.536594038E0
5.164272333E0,-1.299873754E0,8.551373967E0,3.728307199E0,9.418914113E0
5.174296333E0,-1.243345066E0,8.248078891E0,4.121099758E0,9.303772115E0
5.184321333E0,-1.107067519E0,7.882788126E0,4.618072450E0,9.202746345E0
5.194346333E0,-8.495725138E-1,7.366455011E0,5.209736999E0,9.062438551E0
5.204371708E0,-3.178906032E-1,3.972150418E0,4.831058450E0,6.262440349E0
5.214396708E0,2.919349591E-1,-1.433023684E1,-8.905271432E-1,1.436084790E1
5.224421708E0,3.499778423E0,-4.540945805E1,-1.352302053E1,4.750936132E1
5.234446708E0,3.709879407E0,-4.544058394E1,-1.330330322E1,4.749302845E1
5.244471708E0,3.607956591E0,-4.537416893E1,-1.356132681E1,4.749465382E1
5.254496708E0,3.473077990E0,-4.534218700E1,-1.375677350E1,4.751026215E1
5.264521708E0,3.342596496E0,-4.535035907E1,-1.382917490E1,4.752971804E1
5.274545708E0,4.608380983E0,-7.440984206E0,-2.027592194E-1,8.754800542E0
5.284570708E0,5.387570708E0,-8.987376280E0,2.757812365E0,1.083533016E1
5.294595708E0,6.220891324E0,-1.297179766E1,1.150139425E0,1.443225014E1
5.304620708E0,6.210920652E0,-1.294126350E1,1.025876591E0,1.439111737E1
5.314645708E0,6.218392224E0,-1.290260171E1,8.797062859E-1,1.434989254E1
5.324670708E0,6.229973220E0,-1.286484741E1,7.313369894E-1,1.431264193E1
5.334695708E0,2.164463964E0,-9.414200218E0,-3.892378024E0,1.041454160E1
5.344720708E0,1.057368086E-1,-7.716567573E0,-2.698196493E0,8.175381318E0
5.354745708E0,-1.316998641E0,-5.783966321E0,-2.479771414E0,6.429464837E0
5.364770708E0,-2.553833417E0,-2.815012168E0,-3.010552415E0,4.848688943E0
5.374795708E0,-3.607179788E0,1.897047257E-1,-3.826082293E0,5.261809538E0
5.384819708E0,-4.195345656E0,2.825278124E0,-4.219477115E0,6.586889157E0
5.394844708E0,-4.234150118E0,5.194395075E0,-4.058933623E0,7.834839473E0
5.404869708E0,-3.658316320E0,7.263150498E0,-3.311813829E0,8.780930719E0
5.414894708E0,-2.891268631E0,8.744704551E0,-2.393529661E0,9.516211232E0
5.424919708E0,-2.084831904E0,9.693607079E0,-1.458564702E0,1.002197352E1
5.434944708E0,-1.317758779E0,1.025316749E1,-7.430315669E-1,1.036417038E1
5.444969708E0,-7.594881168E-1,1.057667288E1,-3.037170987E-1,1.060825507E1
5.454994708E0,-4.397351754E-1,1.069816633E1,1.982372752E-1,1.070903487E1
5.465019708E0,-2.807811029E-1,1.072677909E1,4.703805788E-1,1.074075815E1
5.475044708E0,-2.415728907E-1,1.073242634E1,3.810979812E-1,1.074190710E1
5.485069708E0,-2.170843130E-1,1.076374636E1,-3.002209023E-2,1.076597709E1
5.495093708E0,-5.329050019E-2,1.098812742E1,-9.549861176E-1,1.102967735E1
5.505118708E0,-1.068096265E-2,1.110038109E1,-1.152723894E0,1.116007826E1
