"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.558142917E0,-1.641712214E0,1.281803226E-1,-4.657549927E-1,1.711308535E0
6.568170917E0,-1.533432305E-1,9.907976823E-1,-2.628878921E-2,1.002938330E0
6.578198917E0,1.776123914E0,1.564847640E0,-3.038514385E-1,2.386564475E0
6.588226917E0,2.874180728E0,2.093338579E0,-6.337051526E-1,3.611725832E0
6.598254917E0,2.463395117E0,2.434302003E0,-1.470912706E0,3.762675369E0
6.608282917E0,9.424051023E-1,1.223330193E0,-1.372586804E0,2.066073250E0
6.618310917E0,9.589264101E-1,5.704716083E-1,-9.577674919E-1,1.470474850E0
6.628338917E0,1.352893674E0,1.728338567E0,-1.459570569E0,2.635872103E0
6.638366917E0,6.580474037E-1,1.421440583E0,-1.204715289E0,1.976071519E0
6.648395917E0,-5.405575454E-1,7.667513819E-1,-1.897230568E0,2.116505131E0
6.658423917E0,1.697610426E-1,1.904114348E0,-2.523295456E0,3.165673739E0
6.668451917E0,-1.489640168E0,2.269131025E0,-2.407353648E0,3.628131065E0
6.678479917E0,-2.468444772E0,1.402118167E0,-3.346944485E0,4.388757493E0
6.688507917E0,-6.007804168E0,-6.527276069E-1,-2.557757191E0,6.562155598E0
6.698535917E0,8.331656653E-1,-8.402083442E-1,-2.794143163E0,3.034361729E0
6.708563917E0,2.317363245E0,2.434157431E0,-2.880948880E0,4.426642210E0
6.718591917E0,3.784251312E0,1.661314420E0,-2.035773911E0,4.607048839E0
6.728619917E0,5.651011747E0,1.526544870E0,-1.326737909E0,6.002041859E0
6.738648917E0,3.971493191E0,1.125256745E0,-1.135093077E0,4.281050946E0
6.748676917E0,3.550626395E0,4.111332276E-1,-2.844876237E0,4.568292803E0
6.758704917E0,2.821604903E0,3.910457030E-1,-3.708956424E0,4.676615093E0
6.768732917E0,2.120510298E0,2.555339952E-1,-5.242848612E0,5.661212160E0
6.778760917E0,1.854315221E0,-3.239366242E-1,-6.348752389E0,6.621939049E0
6.788788917E0,2.762039902E0,3.831423140E-1,-5.960353428E0,6.580385661E0
6.798816917E0,4.343995911E-1,-5.291481659E-2,-5.678599495E0,5.695436349E0
6.808844917E0,1.919846136E0,-2.577651173E0,-4.221922128E0,5.306102261E0
6.818872917E0,2.791045600E0,-7.480629498E-1,-2.622307820E0,3.902054846E0
6.828901917E0,3.073922199E0,-1.064642315E0,-1.834683779E0,3.734772485E0
6.838929917E0,2.465282013E0,-1.646475648E0,-9.910901892E-1,3.125821049E0
6.848957917E0,1.693236124E0,-2.250165435E0,7.914677086E-1,2.925186180E0
6.858985917E0,2.417595631E0,-2.178591130E0,2.833209872E0,4.314870349E0
6.869013917E0,2.326868479E0,-1.923463370E0,3.300708212E0,4.473108869E0
6.879041917E0,1.709781990E0,-1.846360815E0,4.298160464E0,4.980621055E0
6.889069917E0,7.219311583E-1,-2.110475307E0,3.724836292E0,4.341623662E0
6.899097917E0,1.344207051E0,-1.900321552E0,3.426706062E0,4.142514819E0
6.909125917E0,2.320939402E0,-1.190499246E0,3.108125195E0,4.057645917E0
6.919154917E0,2.866399253E0,6.717485994E-2,2.755995635E0,3.976967322E0
6.929182917E0,3.827041236E0,5.902916229E-1,2.432985502E0,4.573194428E0
6.939210917E0,3.582407767E0,1.092446995E0,2.013131445E0,4.252032932E0
6.949238917E0,2.949115720E0,8.837148446E-1,2.474691938E0,3.949979195E0
6.959266917E0,2.077858953E0,1.060796894E0,3.159293302E0,3.927330142E0
6.969294917E0,1.765700083E0,1.547855924E0,3.004998145E0,3.813603098E0
6.979322917E0,1.154157339E0,1.455897933E0,3.120496441E0,3.631696022E0
6.989350917E0,3.934644037E-1,9.668157658E-1,3.992527672E0,4.126720753E0
6.999378917E0,-1.491975546E-1,4.665630779E-1,4.338170330E0,4.365737375E0
7.009406917E0,-1.173280658E0,4.229817331E-2,4.691542130E0,4.836211761E0
7.019435917E0,-1.605862350E0,-2.051837674E-1,4.561701198E0,4.840455773E0
7.029463917E0,-1.717015581E0,1.525159664E0,4.416001156E0,4.977481362E0
7.039491917E0,-1.233512827E0,2.931443680E0,4.164264781E0,5.239848958E0
7.049519917E0,-1.977945825E0,-3.475184450E-1,2.982892161E0,3.595926084E0
7.059547917E0,-3.152979478E0,-1.194597852E0,1.220953592E0,3.585954725E0
7.069575917E0,-2.859707699E0,4.860857615E-1,6.023439038E-1,2.962604542E0
7.079603917E0,-1.897191099E0,1.860399833E0,-4.169599780E-1,2.689661174E0
7.089631917E0,-2.430502775E0,1.460346202E0,-1.220257189E0,3.086904983E0
7.099659917E0,-2.355270744E0,1.087137431E0,-7.938399240E-1,2.712812175E0
7.109688917E0,-1.329521769E0,1.062711564E0,-2.801143742E-1,1.724948714E0
7.119716917E0,-8.032729447E-2,7.505383685E-1,5.352120209E-1,9.253173640E-1
7.129744917E0,9.436219078E-1,6.470400202E-1,1.425907856E0,1.828194822E0
