"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.247307496E1,1.993452641E0,2.251344526E0,3.546095096E0,4.649429646E0
4.248310096E1,9.422057122E-1,2.383151730E0,3.491949879E0,4.331382889E0
4.249312696E1,1.073718363E-1,2.114483573E0,3.591891950E0,4.169443281E0
4.250315196E1,-4.293306398E-1,1.572810086E0,3.607235044E0,3.958560475E0
4.251317796E1,-4.013084435E-1,7.919719579E-1,3.522383759E0,3.632554940E0
4.252320296E1,3.498868597E-1,1.355163856E-1,3.342628071E0,3.363621252E0
4.253322896E1,1.390454434E0,-1.853068156E-1,3.074232101E0,3.379142667E0
4.254325496E1,2.310422015E0,-2.658131079E-1,2.901050145E0,3.718171384E0
4.255327996E1,2.629645491E0,-2.379409658E-1,2.735820403E0,3.802152625E0
4.256330596E1,2.172024268E0,-1.793278914E-1,2.585887853E0,3.381813700E0
4.257333096E1,1.493997513E0,-3.502489485E-2,2.455650772E0,2.874626241E0
4.258335696E1,8.459137648E-1,1.217700932E-1,2.336428969E0,2.487830054E0
4.259338296E1,1.899678504E-1,2.986679549E-1,2.331241904E0,2.357960802E0
4.260340796E1,-5.219996524E-1,4.412704349E-1,2.379832850E0,2.476046775E0
4.261343396E1,-1.193793860E0,3.857894216E-1,2.526466109E0,2.820816948E0
4.262345896E1,-1.856845896E0,2.755577852E-1,2.755790398E0,3.334394921E0
4.263348496E1,-2.432073337E0,2.100469697E-1,2.869088095E0,3.767063438E0
4.264351096E1,-2.817932852E0,1.666597525E-1,2.882994528E0,4.034870318E0
4.265353596E1,-2.937004967E0,1.944323458E-1,2.868413619E0,4.109939026E0
4.266356196E1,-3.060848410E0,2.314798656E-1,2.730777179E0,4.108469291E0
4.267358696E1,-3.011735306E0,3.707744296E-1,2.482524868E0,3.920580691E0
4.268361296E1,-2.616600938E0,6.864903072E-1,2.144443098E0,3.452029202E0
4.269363896E1,-2.283780931E0,9.357747982E-1,1.766298838E0,3.034986227E0
4.270366396E1,-1.837368820E0,1.198899210E0,1.346386893E0,2.574109781E0
4.271368996E1,-1.453491511E0,1.292018020E0,9.276698264E-1,2.154650655E0
4.272371496E1,-1.029518675E0,1.279221388E0,6.119108257E-1,1.752355821E0
4.273374096E1,-7.585312200E-1,1.215433236E0,1.770798562E-1,1.443608270E0
4.274376696E1,-6.648512238E-1,1.017248732E0,-2.087230870E-1,1.233039926E0
4.275379229E1,-7.728721011E-1,7.426034045E-1,-4.511480632E-1,1.162895385E0
4.276381829E1,-9.733947605E-1,3.802138822E-1,-5.958128563E-1,1.202935125E0
4.277384329E1,-1.151374065E0,-2.127743304E-2,-7.114487086E-1,1.353615245E0
4.278386929E1,-1.182348520E0,-3.326830356E-1,-6.707422936E-1,1.399471775E0
4.279389429E1,-1.138224846E0,-4.027021274E-1,-6.459430826E-1,1.369294442E0
4.280392029E1,-1.138821262E0,-3.060650481E-1,-7.558401851E-1,1.400672719E0
4.281394629E1,-1.115929998E0,-9.192831650E-2,-8.815142450E-1,1.425067696E0
4.282397129E1,-1.020337377E0,1.539361382E-1,-9.771609521E-1,1.421136244E0
4.283399729E1,-8.785277796E-1,4.899229968E-1,-1.091078600E0,1.484010820E0
4.284402229E1,-6.420821661E-1,8.388272318E-1,-1.234876836E0,1.625060440E0
4.285404829E1,-3.860039413E-1,1.007735458E0,-1.429155692E0,1.790814281E0
4.286407429E1,6.592735648E-3,7.838533182E-1,-1.682455612E0,1.856105163E0
4.287409929E1,8.453313822E-1,-4.168202296E-2,-1.861667217E0,2.045025028E0
4.288412529E1,1.831761340E0,-1.107827511E0,-1.873596268E0,2.844818866E0
4.289415029E1,2.286433228E0,-1.876081042E0,-1.707246637E0,3.414988736E0
4.290417629E1,2.221119829E0,-2.436183052E0,-1.294470781E0,3.541753205E0
4.291420229E1,1.943942512E0,-2.882565927E0,-9.248809969E-1,3.597708114E0
4.292422729E1,1.712398034E0,-3.121755931E0,-7.755780463E-1,3.644062078E0
4.293425329E1,1.516454329E0,-3.136188906E0,-1.030172832E0,3.632708446E0
4.294427829E1,1.646683517E0,-2.836621138E0,-1.732798970E0,3.709525354E0
4.295430429E1,2.193257262E0,-1.911557854E0,-2.925137458E0,4.125634496E0
4.296433029E1,2.629354885E0,-5.265506865E-1,-3.920034769E0,4.749466847E0
4.297435529E1,2.674929838E0,5.738217705E-1,-4.345072676E0,5.134605887E0
4.298438129E1,2.703125111E0,1.309667402E0,-4.401511171E0,5.328734808E0
4.299440629E1,2.954969952E0,1.765398513E0,-4.096673892E0,5.350814545E0
4.300443229E1,3.294449353E0,1.767145807E0,-3.470429201E0,5.100988108E0
4.301445829E1,3.458788272E0,1.594377103E0,-2.443229532E0,4.524889524E0
4.302448329E1,3.234341145E0,1.617737752E0,-1.071834683E0,3.771852021E0
4.303450929E1,2.516720554E0,1.792662471E0,2.372871740E-1,3.099004080E0
4.304453429E1,1.465342063E0,1.540471329E0,1.403610084E0,2.547626454E0
4.305456029E1,3.132979077E-1,9.427790317E-1,2.280556777E0,2.487554440E0
4.306458629E1,-5.035253745E-1,6.932739544E-1,2.874974195E0,2.999940533E0
4.307461129E1,-7.964352107E-1,6.960937741E-1,3.349288342E0,3.512347930E0
4.308463729E1,-7.797642142E-1,7.530566181E-1,3.735992195E0,3.890085369E0
4.309466229E1,-7.345050108E-1,7.874595885E-1,3.854237806E0,4.001841985E0
4.310468829E1,-4.634508973E-1,8.933840927E-1,3.634711988E0,3.771478902E0
4.311471429E1,6.057130694E-2,1.049333573E0,3.293665241E0,3.457311174E0
4.312473929E1,4.602957398E-1,1.096875822E0,3.073992658E0,3.296124937E0
4.313476529E1,8.042821741E-1,1.084138248E0,2.820456803E0,3.126851792E0
4.314479029E1,1.005146896E0,1.057523184E0,2.633377769E0,3.010540490E0
4.315481629E1,7.944822407E-1,9.694428467E-1,2.500060083E0,2.796662633E0
4.316484229E1,2.726732075E-1,1.022955760E0,2.260131137E0,2.495792844E0
4.317486729E1,-2.699671161E-1,1.247336083E0,2.059058400E0,2.422488605E0
4.318489329E1,-8.072870582E-1,1.498270366E0,1.880674907E0,2.536427525E0
4.319491829E1,-1.229606887E0,1.649641623E0,1.772845380E0,2.715921818E0
4.320494429E1,-1.427311773E0,1.701445469E0,1.770790815E0,2.840393580E0
4.321496929E1,-1.389439942E0,1.653335455E0,1.824044770E0,2.826871204E0
4.322499529E1,-1.355128480E0,1.538820660E0,2.104009455E0,2.937890061E0
4.323502129E1,-1.369142502E0,1.364515893E0,2.370691460E0,3.058861358E0
4.324504629E1,-1.616119536E0,1.140340588E0,2.498362051E0,3.186539181E0
4.325507229E1,-2.038255177E0,8.997499564E-1,2.534263955E0,3.374392974E0
4.326509729E1,-2.374546090E0,6.520363929E-1,2.468037221E0,3.486377535E0
4.327512329E1,-2.427358727E0,5.341215152E-1,2.158769799E0,3.292057598E0
4.328514929E1,-2.241307926E0,4.208136586E-1,1.674920890E0,2.829470859E0
4.329517429E1,-1.798902327E0,3.628763030E-1,1.200138528E0,2.192729185E0
4.330520029E1,-1.384374499E0,3.734818366E-1,7.691368997E-1,1.627130298E0
4.331522529E1,-1.287141734E0,2.293296982E-1,5.070049064E-1,1.402276695E0
4.332525129E1,-1.175368114E0,1.148480131E-1,1.107778394E-1,1.186150075E0
4.333527729E1,-1.035427287E0,1.060535815E-1,-3.890304601E-1,1.111171331E0
4.334530229E1,-9.411087745E-1,1.741495241E-1,-8.232911798E-1,1.262466692E0
4.335532829E1,-9.517050987E-1,2.773707144E-1,-1.256054135E0,1.600109090E0
4.336535329E1,-1.007954729E0,3.495833161E-1,-1.808989505E0,2.100148628E0
4.337537929E1,-1.243617400E0,4.495272151E-1,-2.348144596E0,2.694891834E0
4.338540529E1,-1.498521504E0,5.401983802E-1,-2.469997208E0,2.939092921E0
4.339543029E1,-1.576766605E0,6.173055399E-1,-2.250536002E0,2.816411076E0
4.340545629E1,-1.560433577E0,7.386450588E-1,-2.143150571E0,2.752025407E0
4.341548129E1,-1.540606254E0,9.052801799E-1,-2.157016658E0,2.801021367E0
4.342550729E1,-1.562380700E0,1.014412320E0,-2.236587908E0,2.910737239E0
