"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.178310417E-1,2.118102415E0,-3.256003910E0,-3.315400511E0,5.106838537E0
7.277860417E-1,1.143352416E0,-7.145788693E-1,-2.201205967E0,2.581314668E0
7.377410417E-1,9.610395938E-1,1.191245059E0,-8.776730628E-1,1.764361612E0
7.476960417E-1,1.170339070E0,1.793691289E0,-4.071139978E-1,2.180083436E0
7.576510417E-1,2.070760141E0,1.915902774E0,1.195165032E-1,2.823652810E0
7.676060417E-1,2.929354177E0,1.653881439E0,6.227957100E-1,3.421156852E0
7.775610417E-1,3.199934666E0,1.383253587E0,1.618092678E-1,3.489864553E0
7.875150417E-1,2.230252157E0,1.412658066E0,-1.039397692E0,2.837247796E0
7.974700417E-1,2.450270164E0,1.287893686E0,-1.905273705E0,3.360440733E0
8.074250417E-1,2.402942801E0,1.096205585E0,-2.264766955E0,3.479219762E0
8.173800417E-1,1.358397220E0,1.327737783E0,-1.398262221E0,2.358658065E0
8.273350417E-1,-1.657918064E-1,1.601532487E0,-6.213977869E-1,1.725841371E0
8.372900417E-1,-1.078476535E0,1.994597526E0,-3.320534366E-1,2.291678514E0
8.472450417E-1,-1.149721788E0,2.077509289E0,-2.343523103E-1,2.385964384E0
8.572000417E-1,-6.999698934E-1,2.093658130E0,-7.299079299E-3,2.207581367E0
8.671550417E-1,-1.452940996E-1,1.671799062E0,4.778710082E-2,1.678781131E0
8.771100417E-1,8.864780925E-2,1.226774495E0,4.031217382E-1,1.294349733E0
8.870650417E-1,-2.609758526E-2,9.700314420E-1,5.741609091E-1,1.127520657E0
8.970200417E-1,1.229877759E-1,8.708363521E-1,2.235642705E-1,9.074485816E-1
9.069750417E-1,2.458369727E-1,6.443865538E-1,-1.021081728E-1,6.972057995E-1
9.169300417E-1,5.393780158E-1,2.330168062E-1,-2.391943896E-1,6.343811409E-1
9.268850417E-1,3.257658526E-1,-2.018271732E-1,-2.491609687E-1,4.570982245E-1
9.368400417E-1,-2.818853496E-1,-1.185794284E0,-9.291810393E-3,1.218873977E0
9.467950417E-1,2.054102008E-1,-1.291413710E0,3.799789703E-1,1.361736663E0
9.567490417E-1,-1.299474974E-1,-1.092403141E0,1.010851439E0,1.494005223E0
9.667040417E-1,-2.848749579E-1,-6.929874408E-1,1.719162093E0,1.875340939E0
9.766590417E-1,-6.658179878E-1,2.424647373E-1,2.581889527E0,2.677359944E0
9.866140417E-1,-1.705759106E0,1.878594030E0,3.856701822E0,4.616587333E0
9.965690417E-1,-2.420517485E0,3.760925599E0,5.070183842E0,6.760934140E0
1.006524042E0,-2.105655300E0,5.295225631E0,5.900730540E0,8.203159125E0
1.016479042E0,-1.288410873E0,5.725046852E0,6.270399699E0,8.588019354E0
1.026434042E0,-2.974785581E-1,4.604410431E0,5.358678446E0,7.071387671E0
1.036389042E0,4.015893292E-1,2.395441115E0,4.741069801E0,5.327021211E0
1.046344042E0,9.594118752E-1,3.720343584E-1,4.900446188E0,5.007319997E0
