"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.288623750E-1,1.028782511E0,4.992995918E0,-3.921252744E0,6.431533625E0
6.388163750E-1,-1.924344253E-1,1.297201869E0,-2.424732596E0,2.756645037E0
6.487713750E-1,-2.116823629E0,-3.794297998E0,4.090852404E0,5.967638809E0
6.587253750E-1,-3.702945778E0,-1.037576255E1,1.745661529E0,1.115417367E1
6.686793750E-1,-5.113985919E0,-2.230912045E1,2.418960663E0,2.301523577E1
6.786333750E-1,-8.537433035E0,-3.737357110E1,-4.750016041E0,3.862944773E1
6.885873750E-1,-1.096207690E1,-4.318850779E1,-1.489688700E1,4.698224747E1
6.985413750E-1,-5.631920003E0,-2.975992563E1,-1.141536826E1,3.236792130E1
7.084953750E-1,5.565730691E-1,-1.922169469E1,-2.649693840E0,1.941144502E1
7.184503750E-1,1.765833545E0,-1.832779107E1,-1.900071437E0,1.851043935E1
7.284043750E-1,2.810868246E0,-1.764317333E1,-3.851047565E0,1.827602563E1
7.383583750E-1,4.628278180E0,-1.697436179E1,-4.897892125E0,1.826305737E1
7.483123750E-1,4.598135199E0,-1.563749650E1,-4.382191093E0,1.687832169E1
7.582663750E-1,2.159012020E0,-1.454448584E1,-1.862831836E0,1.482138805E1
7.682203750E-1,-6.441728380E-1,-1.323441015E1,-2.323402834E-1,1.325211503E1
7.781753750E-1,-2.434042241E0,-1.048215615E1,1.095647614E0,1.081668169E1
7.881293750E-1,-4.023936283E0,-6.899720902E0,1.442428433E0,8.116576342E0
7.980833750E-1,-5.302984301E0,-3.625775980E0,1.751325288E0,6.658455844E0
8.080373750E-1,-4.083829313E0,-8.755369288E-1,1.925836608E0,4.599247048E0
8.179913750E-1,-1.240456395E0,2.176353546E0,2.118807589E0,3.280943832E0
8.279453750E-1,4.817073664E-1,5.469301334E0,2.162827621E0,5.901111962E0
8.379003750E-1,8.690908121E-1,8.217741782E0,1.848079019E0,8.467703047E0
8.478543750E-1,3.968303169E-1,1.056594090E1,1.946611619E0,1.075108731E1
8.578083750E-1,-2.999198803E-1,1.235664017E1,2.175657728E0,1.255029859E1
8.677623750E-1,-3.942762896E-1,1.311486968E1,1.549196252E0,1.321193663E1
8.777163750E-1,3.349825262E-1,1.261376212E1,5.683435142E-1,1.263100244E1
