"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.141787558E1,-3.300273472E0,-6.104932267E0,2.072040535E0,7.242606917E0
3.142783058E1,-2.807431545E0,-5.514765190E0,3.338013156E0,7.031119314E0
3.143778558E1,-2.113425519E0,-3.586007313E0,4.617079301E0,6.216384571E0
3.144774058E1,-1.698066509E0,-1.493505177E0,4.935180988E0,5.428627724E0
3.145769558E1,-8.424795489E-1,2.622885525E-2,5.042232982E0,5.112198469E0
3.146765058E1,2.512060323E-1,1.137585745E0,5.350694658E0,5.476051417E0
3.147760558E1,1.191279411E0,1.918163307E0,5.661240281E0,6.094927286E0
3.148756058E1,2.129696274E0,2.338125538E0,5.484428666E0,6.330986893E0
3.149751558E1,2.503203838E0,2.708793987E0,5.238785967E0,6.406908203E0
3.150747058E1,2.622506918E0,3.003639252E0,4.874579568E0,6.297691423E0
3.151742558E1,2.644046014E0,3.583325779E0,4.604764772E0,6.405861501E0
3.152738058E1,2.697930445E0,3.980090352E0,4.366283450E0,6.494950274E0
3.153733558E1,2.513373608E0,3.929480361E0,4.221558723E0,6.291217756E0
3.154729058E1,2.222624464E0,3.730880851E0,4.391251354E0,6.175971169E0
3.155724558E1,2.030559656E0,3.588811052E0,4.876727543E0,6.386329839E0
3.156720058E1,1.772946099E0,3.562634822E0,5.264168730E0,6.599028501E0
3.157715558E1,1.615130040E0,3.683496770E0,5.458620225E0,6.780363431E0
3.158711058E1,1.542222717E0,3.927698715E0,5.462662990E0,6.902604946E0
3.159706558E1,1.507593897E0,4.172308211E0,5.373975347E0,6.968544051E0
3.160702058E1,1.422778426E0,4.358319250E0,5.192464324E0,6.926826900E0
3.161697558E1,1.279926709E0,4.430014885E0,4.762297533E0,6.628930687E0
3.162693058E1,1.007564792E0,4.610799099E0,4.099998034E0,6.251770870E0
3.163688558E1,1.187669267E0,4.760872566E0,3.233509379E0,5.876397602E0
3.164684058E1,1.750596286E0,5.043839212E0,2.257987109E0,5.796844585E0
3.165679558E1,1.823046212E0,5.085256210E0,1.088299272E0,5.510691746E0
3.166675058E1,1.010919705E0,4.255440415E0,-2.941278112E-1,4.383747591E0
3.167670608E1,-3.651566441E-1,2.210245178E0,-1.507201988E0,2.700033510E0
3.168666108E1,-1.649572626E0,-7.617337400E-1,-3.052874269E0,3.552656674E0
3.169661608E1,-2.418261044E0,-3.891179345E0,-5.399765661E0,7.081435756E0
3.170657108E1,-2.502661217E0,-6.301615060E0,-7.490638762E0,1.010362977E1
3.171652608E1,-2.425172453E0,-7.191736114E0,-6.829953094E0,1.021032757E1
3.172648108E1,-2.255562999E0,-6.351024617E0,-5.406770625E0,8.640384640E0
3.173643608E1,-2.267479186E0,-3.863415011E0,-5.530156231E0,7.116885930E0
3.174639108E1,-2.534261909E0,-7.410451216E-1,-4.938186457E0,5.599760422E0
3.175634608E1,-2.893990802E0,1.575872566E0,-3.515802425E0,4.818653733E0
3.176630108E1,-3.946819987E0,2.718917856E0,-1.076727633E0,4.912152758E0
3.177625608E1,-5.109657226E0,3.370065545E0,7.251386485E-1,6.163746004E0
3.178621108E1,-5.232278016E0,3.672943130E0,1.641685609E0,6.600180006E0
3.179616608E1,-4.363368906E0,2.227617255E0,1.387403649E0,5.091773338E0
3.180612108E1,-3.011985275E0,-1.589356830E0,1.308893377E-1,3.408114207E0
3.181607608E1,-9.996044661E-1,-6.467395318E0,-6.099672112E-1,6.572554396E0
3.182603108E1,1.064820143E0,-1.137158314E1,-1.336809154E0,1.149929579E1
3.183598608E1,1.866123965E0,-1.410435656E1,2.703542018E-1,1.422984132E1
3.184594108E1,1.482678181E0,-1.443490200E1,2.259608834E0,1.468572648E1
3.185589608E1,7.979940784E-1,-1.098983012E1,2.195008796E0,1.123526699E1
3.186585108E1,4.651878420E0,-5.610754251E-1,4.471395630E0,6.476739716E0
3.187580608E1,7.884207830E0,9.499259080E0,6.828835691E0,1.410778697E1
3.188576108E1,8.897378275E0,1.370560452E1,5.912132025E0,1.737700321E1
3.189571608E1,5.624924394E0,1.410384902E1,5.222396221E0,1.605714028E1
3.190567108E1,3.585153034E-1,9.879226356E0,1.044931117E1,1.438456640E1
3.191562608E1,-4.118041664E0,1.089101803E0,1.271771977E1,1.341211415E1
3.192558108E1,-5.752024151E0,-5.994445034E0,7.620308955E0,1.127334297E1
3.193553608E1,-6.490203552E0,-1.093680874E1,3.357010467E0,1.315317630E1
3.194549108E1,-5.236697926E0,-1.320578218E1,1.568349830E0,1.429249486E1
3.195544608E1,-3.350640218E0,-9.425726835E0,-6.999409497E-1,1.002801244E1
3.196540108E1,-1.546699199E0,-3.563254627E0,-1.148751881E0,4.050764475E0
3.197535608E1,1.950022300E-1,-5.098187327E-3,1.173149096E0,1.189256348E0
3.198531108E1,1.786920213E0,1.749951192E0,3.646754328E0,4.422016526E0
3.199526608E1,2.896571470E0,2.333020919E0,3.910176948E0,5.396535616E0
3.200522108E1,3.814749804E0,2.456408864E0,2.792039919E0,5.327452251E0
3.201517608E1,3.057411709E0,1.961880015E0,2.125547382E0,4.208882420E0
3.202513108E1,1.497502480E0,9.345411819E-1,1.804918235E0,2.524601104E0
3.203508608E1,1.515247464E-2,5.389261723E-2,1.473842161E0,1.474904989E0
3.204504108E1,-1.087789980E0,-3.785370469E-2,8.517112792E-1,1.382075268E0
3.205499608E1,-1.712450513E0,3.884106553E-1,2.144407868E-2,1.756077859E0
3.206495108E1,-1.660678973E0,8.910718113E-1,-7.177502529E-1,2.016687643E0
3.207490608E1,-1.279371077E0,1.294617400E0,-1.160286245E0,2.158492236E0
3.208486108E1,-9.028514658E-1,1.491894270E0,-1.031071038E0,2.025832364E0
3.209481608E1,-5.033593136E-1,1.297397166E0,-7.454356496E-1,1.578697030E0
3.210477108E1,-2.889403076E-1,8.902198720E-1,-7.001795161E-1,1.168858108E0
3.211472608E1,-2.946106450E-1,7.301687157E-1,-6.754610697E-1,1.037395509E0
3.212468108E1,-7.938770539E-1,7.594281828E-1,-5.344578031E-1,1.221727091E0
3.213463608E1,-1.073863666E0,1.005729278E0,-3.744954515E-1,1.518196759E0
3.214459108E1,-1.120558800E0,1.056188411E0,-4.692144613E-1,1.609766503E0
3.215454608E1,-1.154391228E0,8.416973376E-1,-4.912011981E-1,1.510745555E0
3.216450108E1,-1.036849476E0,5.304494637E-1,-4.607003671E-1,1.252468881E0
3.217445608E1,-8.642130648E-1,3.559007210E-1,-6.141482627E-1,1.118350407E0
3.218441108E1,-1.120640076E0,3.100760919E-1,-9.528903294E-1,1.503323432E0
3.219436608E1,-1.078356813E0,1.913401920E-1,-1.182128665E0,1.611487718E0
3.220432108E1,-1.222546812E0,-2.091724455E-2,-1.537166921E0,1.964164042E0
3.221427608E1,-1.703403847E0,1.863390684E-2,-2.041558269E0,2.658926861E0
3.222423108E1,-2.363278067E0,1.616918850E-1,-2.353638055E0,3.339287287E0
3.223418608E1,-2.862824850E0,-6.139576435E-4,-2.297585038E0,3.670785135E0
3.224414108E1,-2.916804883E0,9.977104068E-2,-1.857546392E0,3.459506263E0
3.225409608E1,-2.403591257E0,2.976817489E-3,-1.568468821E0,2.870079134E0
3.226405108E1,-1.577912659E0,-6.770508546E-1,-1.837697434E0,2.515022481E0
3.227400608E1,-1.405595798E0,-1.140896439E0,-2.331038859E0,2.951454962E0
3.228396108E1,-1.598247521E0,-1.332307382E0,-3.093353081E0,3.728038544E0
3.229391608E1,-1.705004523E0,-1.512781693E0,-3.553370494E0,4.221609970E0
3.230387108E1,-2.087570593E0,-1.712827220E0,-3.501056040E0,4.421438845E0
3.231382608E1,-2.858039489E0,-1.815844635E0,-3.294853980E0,4.724589316E0
3.232378108E1,-3.723465997E0,-2.351379422E0,-2.645218381E0,5.137155292E0
3.233373608E1,-4.435470045E0,-3.351906433E0,-1.813441575E0,5.847840764E0
3.234369108E1,-4.956588814E0,-4.469112293E0,-1.229246698E0,6.786146536E0
3.235364608E1,-5.442116459E0,-4.988381295E0,-1.155037930E0,7.472261513E0
3.236360108E1,-6.103936486E0,-5.139857510E0,-1.314259513E0,8.087240191E0
3.237355608E1,-6.804873801E0,-5.236631852E0,-1.303554430E0,8.684922266E0
3.238351108E1,-6.989530626E0,-5.258224450E0,-1.199263346E0,8.828402761E0
3.239346608E1,-6.373376768E0,-5.362489661E0,-1.109287634E0,8.402782030E0
3.240342108E1,-4.443323733E0,-5.251419461E0,-1.012667073E0,6.953130715E0
3.241337608E1,-1.901410888E0,-4.415191024E0,-2.681845924E0,5.504686431E0
3.242333108E1,1.745692080E-1,-3.437711983E0,-6.052323114E0,6.962682900E0
3.243328608E1,7.484754708E-1,-2.402686985E0,-6.374112348E0,6.852913870E0
3.244324108E1,1.241945827E0,-6.573410600E-1,-3.754307721E0,4.008659772E0
3.245319608E1,1.479654147E0,2.485487652E-1,-8.724338845E-1,1.735596084E0
3.246315108E1,1.436427143E0,1.823734868E-1,2.701299026E0,3.064897952E0
3.247310608E1,1.277315927E0,-4.809831887E-1,6.320133777E0,6.465831096E0
3.248306108E1,4.139875460E-1,-1.669670675E0,8.833826058E0,8.999759368E0
3.249301608E1,-5.217979965E-1,-3.237706802E0,8.352172194E0,8.972948169E0
3.250297108E1,-7.258608527E-1,-3.966931778E0,5.309985173E0,6.667785557E0
3.251292608E1,-5.136277917E-1,-3.962837557E0,3.245631534E0,5.148011176E0
3.252288108E1,-1.057864442E0,-4.579641041E0,2.762042241E0,5.451703090E0
3.253283608E1,-1.589624924E0,-4.970555474E0,2.675884688E0,5.864613199E0
3.254279108E1,-1.461490210E0,-6.004996920E0,2.001818545E0,6.496400474E0
3.255274608E1,-1.253588949E0,-5.668565088E0,4.086965759E0,7.099817218E0
3.256270108E1,-1.424370916E0,-4.273403061E0,4.893542089E0,6.651132264E0
3.257265608E1,-1.291830617E0,-2.778396319E0,4.506521316E0,5.449499685E0
3.258261108E1,-1.047403554E0,-1.129628854E0,4.435089684E0,4.695011827E0
3.259256508E1,-6.110957969E-1,2.359480155E-1,4.081777817E0,4.134007703E0
3.260252008E1,1.236187635E-1,1.242834458E0,3.911388784E0,4.105956808E0
3.261247608E1,1.684698604E0,1.803835039E0,3.942346282E0,4.651249772E0
