"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.050734040E-1,-1.766946912E0,9.127863884E0,9.123308182E0,1.302592617E1
5.130993770E-1,-2.809256315E0,7.376366615E0,1.198741150E1,1.435272587E1
5.211253500E-1,-4.844433308E0,4.587831497E0,1.436853981E1,1.584208535E1
5.291513230E-1,-5.578321934E0,3.315898418E0,1.680189514E1,1.801156679E1
5.371772960E-1,-5.933162689E0,2.846606731E0,1.805175400E1,1.921383386E1
5.452032690E-1,-6.124201775E0,2.666978598E0,1.769750977E1,1.891614321E1
5.532292420E-1,-6.435889721E0,2.096391678E0,1.655650330E1,1.788668041E1
5.612552150E-1,-7.347782135E0,1.443692446E0,1.524716663E1,1.698676663E1
5.692811880E-1,-7.760134697E0,9.282834530E-1,1.386935616E1,1.591981284E1
5.773071610E-1,-6.832676411E0,1.517487526E0,1.163198566E1,1.357539413E1
5.853331340E-1,-5.725906372E0,2.509237289E0,9.088886261E0,1.103132490E1
5.933285910E-1,-5.496972084E0,2.430062056E0,6.788957596E0,9.067074993E0
6.013545640E-1,-5.287540436E0,1.968516469E0,4.727239609E0,7.360702091E0
6.093805370E-1,-5.812520504E0,1.661516309E0,2.628129959E0,6.591896399E0
6.174065100E-1,-5.680093765E0,1.864624977E0,1.011989594E0,6.063366592E0
6.254324830E-1,-5.827125549E0,2.208014727E0,-1.046074867E0,6.318622779E0
6.334584560E-1,-3.929132223E0,2.445074558E0,-1.774036407E0,4.956175420E0
6.414844290E-1,-2.579359770E0,1.882656336E0,-1.653199196E0,3.595908687E0
6.495104020E-1,-3.232495308E0,1.446292162E0,-2.864435196E0,4.554753114E0
6.575363750E-1,-3.167934895E0,8.572666049E-1,-2.611169338E0,4.193914978E0
6.655623480E-1,-3.122780800E0,-4.850218892E-1,-1.822628975E0,3.648147823E0
6.735578030E-1,-3.143243790E0,-1.564340353E0,-1.109787941E0,3.682223722E0
6.815837760E-1,-2.829497337E0,-1.756434560E0,-1.011851311E0,3.480655200E0
6.896097490E-1,-2.078676462E0,-1.261427879E0,-1.523675442E0,2.869439489E0
6.976357230E-1,-1.156819105E0,-9.403871298E-1,-2.139440536E0,2.607635750E0
7.056616960E-1,-3.557310104E-1,-8.965140581E-1,-2.742712975E0,2.907362459E0
7.136876690E-1,4.133615494E-1,-7.443990707E-1,-3.707268238E0,3.803792257E0
7.217136420E-1,6.549220085E-1,-6.439627409E-1,-4.697639942E0,4.786588751E0
7.297396150E-1,5.814104080E-1,-7.744727135E-1,-5.348264694E0,5.435235164E0
7.377655880E-1,3.464858532E-1,-7.576448917E-1,-5.867928505E0,5.926775107E0
7.457915610E-1,9.084272385E-2,-6.485436559E-1,-6.246562958E0,6.280796929E0
7.538175340E-1,-3.464488983E-1,-5.619469881E-1,-6.261439323E0,6.296144349E0
7.618129900E-1,-1.224260569E0,-3.616946936E-1,-5.988357544E0,6.122912956E0
7.698389630E-1,-2.408440590E0,-4.085030854E-1,-5.552698612E0,6.066293986E0
