Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.131368472,-0.7177403449866666,-0.289953899386,0.7651486396680001,1.2974472131466668
0.139394443,-0.7148319244200001,-0.316335900626,0.7832165400100001,1.3085403200466668
0.147389896,-0.6725178082600001,-0.3146118481993333,0.78987509409,1.28674228648
0.155415868,-0.59384412764,-0.299677594506,0.8177339553699999,1.2817895276133333
0.163441839,-0.51029911042,-0.28526474635000004,0.8593685785699999,1.30093256348
0.17146781,-0.44534378052733337,-0.27711896896666666,0.9058593432366667,1.33139957848
0.179463264,-0.407053216314,-0.28072455724333334,0.9319168409033334,1.3464700726133334
0.187489234,-0.396089522054,-0.3101477146166667,0.9260503769033334,1.3378075978800001
0.195515205,-0.4049132824006667,-0.37782287598,0.8782102267166667,1.3267447568133333
0.20351066,-0.4072483539606667,-0.46748619081400006,0.8126251220633333,1.3380333854133333
0.211536631,-0.3993413766273333,-0.5623882691073334,0.76799160639,1.3737476357466667
0.219562602,-0.3902219613406667,-0.643899067214,0.76956698099,1.4293889750933333
0.227558055,-0.363208993278,-0.6983854214273334,0.83221766155,1.498953683833333
0.235584026,-0.3028468132046667,-0.7308254798206666,0.995072364842,1.62186965706
0.243609997,-0.18788466455133332,-0.731029272074,1.2715932528753333,1.8387738386133334
0.251605451,-0.018864981364666647,-0.7019528945206666,1.623176988022,2.1299479500133334
0.259631422,0.17745486888866668,-0.6706139564473332,2.00400822966,2.48944242508
0.267657393,0.34845649393533334,-0.666965460774,2.3198225339999996,2.8266427231333333
0.275652847,0.4491804122086666,-0.7083132982273332,2.4893863360666666,3.0239756128
0.283678818,0.470081678942,-0.8021501779833334,2.4805275281999997,3.0480368382
0.291704788,0.4242276667693333,-0.9343213876233334,2.3378255844533338,3.021606817266667
0.299700243,0.33278474801600005,-1.0867843946066666,2.0778924306533333,3.0862397088000004
0.307726214,0.23028971348933333,-1.22645943964,1.7188030243199999,3.2928023911333337
0.315721667,0.09363652862266664,-1.28124458002,1.3392690341066666,3.5863282684000004
0.323747638,-0.02893598877733335,-1.33584267302,0.9638631820933334,3.9000262400666665
0.331773609,-0.16069957420400002,-1.3662936290866667,0.5306570688866666,4.255078286333333
0.339769064,-0.2397956769306667,-1.4213677963533333,0.12456328071999997,4.552046112066667
0.347795034,-0.3193664074533334,-1.5194099347533334,-0.3040540060133334,4.8374835835333325
0.355790488,-0.4032158057466667,-1.6510709206866667,-0.7907433192800001,5.0524826808666665
0.36381646,-0.4891633987853333,-1.8067918619133332,-1.3535931906133334,5.138096081066666
0.371842431,-0.5538746516186667,-1.97736586738,-1.9493870736133334,5.1090912434
0.379837884,-0.6067953427519999,-2.140714168626667,-2.542235883213334,5.0033657746
0.387863855,-0.6132101376853333,-2.2512716691466665,-3.06470915488,4.908055996333333
0.395889826,-0.5691642760853334,-2.3214497884666665,-3.4701308887466666,4.879144917133334
0.40388528,-0.4431979815053333,-2.3588250716666668,-3.694596862946667,4.9458816168
0.411911251,-0.20742538771866667,-2.396769015,-3.3099013012,5.2866656816
0.419937222,-0.07927515510533331,-2.4017597675333335,-3.0692619960666665,5.272673787733334
0.427963193,0.06043856933666669,-2.4258061250000003,-2.7848587672866665,5.131953148466667
0.435958647,0.05927705760333337,-2.5369896252666666,-2.5512211800866664,5.051550171200001
0.443984617,0.017207193336666708,-2.4668321927333334,-2.3302005450866665,4.8984109952
0.452010588,0.06940593720333336,-2.2772220929199998,-2.0201681137533334,4.596793129066667
0.460006043,0.05177806220333337,-2.0700705846000003,-1.7390840530866667,4.343543963933333
0.468032014,0.011675842603333372,-1.8585382461333333,-1.3885726293086667,4.0686659981333335
0.476057985,0.044796506563333366,-1.5948167323933333,-0.9844170252419999,3.7747326376
0.484053438,0.10793640613533337,-1.3644854624933336,-0.5816536585753332,3.530233131266667
0.492079409,0.15003613630200002,-1.1869987884800002,-0.16747725804199992,3.387274269666667
0.50010538,0.15537294543533336,-1.0467400550533335,0.2474426905580001,3.3164476422666667
0.508100834,0.11921544870200004,-0.9498798687933333,0.6595268885580001,3.2964650711999997
0.516126805,0.038724525768666716,-0.8471079110933333,1.0610502561580002,3.3044999124666665
0.524152776,-0.15244986213799996,-0.73840450048,1.411639404358,3.3328328354
0.53214823,-0.48094032600466663,-0.6360767285199999,1.2355312983580002,3.129127473866667
0.540174202,-0.6659881034846666,-0.5376388311533334,1.2710666656913334,3.1679158958666664
0.548200172,-0.8785723367933332,-0.33779485226,1.3086293539113334,3.210273564533333
0.556195626,-0.79501455626,-0.08247342109999999,1.458528010138,3.0265827452666665
0.564221597,-0.5936053991466667,-0.04727218547999999,1.6743692716713334,2.8465667632000002
0.572247568,-0.4159389893666666,-0.14657306670666664,1.8295256933113335,2.7644124603333333
0.580273539,-0.18709460896666663,-0.20284895896666663,1.904588063638,2.7092565709333334
0.588268993,0.025137440366666666,-0.24868787129333333,1.8587174098533334,2.6812397974000004
0.596294964,0.13444156645333336,-0.3471236228933333,1.7218283335866669,2.6958936883333333
0.604320935,0.16705803872,-0.41955583492666665,1.5626061758200003,2.6936105623333333
0.612316388,0.11450589500000001,-0.45153361558666666,1.3682215373200002,2.5901851784
0.620342359,-0.008448521257333327,-0.47222493886666667,1.1678098043160001,2.4136544973666663
0.62836833,-0.182663297624,-0.50665698446,1.0012814204093334,2.2630611179666666
0.636394301,-0.3512234131573333,-0.5431236743666666,0.8645570119426668,2.1569549713666665
0.644389755,-0.4064000924506666,-0.5342464486533333,0.7083695730093333,2.030610520833333
0.652415726,-0.3386048793839999,-0.4973048607266667,0.5561470032093335,1.8632409074333334
0.660441697,-0.2265188137906666,-0.48005526857999997,0.4442688624493334,1.7070296795
0.668437151,-0.028663110730666616,-0.5261043945666667,0.3904802322493334,1.51759887816
0.676463122,0.0945200046113334,-0.5780903021199999,0.32772121430400003,1.4082590620533333
0.684489093,0.13089416029133336,-0.5552872379333333,0.22178999583066675,1.3490187189333334
0.692484547,0.08027926288333337,-0.5325064499933333,0.13072929382400006,1.3098951322533334
0.700510518,-0.006279691056666623,-0.5478416601533332,0.09457893371066675,1.2590457344866666
0.708536489,-0.0466946681433333,-0.5357768376406666,0.10893535613066674,1.2154263672666668
