"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.369660417E-1,-2.475250931E0,-3.579763071E0,-6.048523008E0,7.451590528E0
6.469209167E-1,-2.400410956E0,-6.757940540E0,-8.027877427E0,1.076468992E1
6.568759167E-1,-2.535087536E0,-9.185983391E0,-8.411119144E0,1.271046360E1
6.668319167E-1,-4.013018947E0,-1.073628550E1,-8.230993912E0,1.411103852E1
6.767869167E-1,-3.755399981E0,-9.176023244E0,-8.108875397E0,1.280844611E1
6.867419167E-1,-2.090924556E0,-4.807355007E0,-6.932005718E0,8.691106428E0
6.966969167E-1,-8.476392051E-1,-7.536242366E-1,-4.975057830E0,5.102709292E0
7.066519167E-1,-5.933270587E-1,1.879047189E0,-2.865173677E0,3.477366178E0
7.166069167E-1,2.974654019E-2,3.745553854E0,-1.123724336E0,3.910602884E0
7.265619167E-1,1.180442109E0,4.123132542E0,-2.219597214E-1,4.294523449E0
7.365169167E-1,2.730692102E0,1.882941434E0,7.971719599E-1,3.411397212E0
7.464719167E-1,3.612503970E0,-2.187448638E0,1.709437297E0,4.556017159E0
7.564269167E-1,3.557623174E0,-5.839958088E0,1.623705128E0,7.028386121E0
7.663819167E-1,3.697030735E0,-9.430066053E0,8.549769491E-1,1.016489880E1
7.763379167E-1,2.915915229E0,-1.208266771E1,1.330918084E0,1.250059053E1
7.862929167E-1,1.801215486E0,-1.077259437E1,2.740511624E0,1.126070915E1
7.962479167E-1,2.009761110E0,-4.511611610E0,1.121124372E0,5.064651903E0
8.062029167E-1,3.214699763E0,2.910822304E0,3.385169196E0,5.501504480E0
8.161579167E-1,5.066398355E0,9.362752322E0,7.285497386E0,1.289992231E1
8.261129167E-1,8.192323936E0,1.179378018E1,7.755449803E0,1.632036838E1
8.360679167E-1,6.276811756E0,1.106495866E1,7.930065204E0,1.499058405E1
8.460229167E-1,-1.911090442E-1,6.094873887E0,9.819872439E0,1.155914811E1
8.559779167E-1,-4.379944300E0,-1.638410876E0,7.263000809E0,8.638256944E0
8.659329167E-1,-5.036460026E0,-7.544236094E0,6.002256914E0,1.087697182E1
8.758879167E-1,-4.572598362E0,-9.566949956E0,4.099657433E0,1.136848179E1
8.858439167E-1,-3.332962623E0,-8.250221896E0,2.007422808E0,9.121652674E0
8.957989167E-1,-1.957982992E0,-4.337792600E0,6.522218227E-2,4.759663430E0
9.057539167E-1,3.721493658E-1,-3.031664371E-1,-6.870984176E-1,8.381582634E-1
9.157089167E-1,2.727010987E0,2.231647741E0,-2.668824175E-1,3.533845892E0
9.256639167E-1,3.588357309E0,3.750115852E0,2.942991346E-2,5.190428036E0
9.356189167E-1,3.478665589E0,4.250026478E0,7.702747679E-1,5.545914042E0
9.455739167E-1,2.810360123E0,4.064568585E0,2.154833454E0,5.390932110E0
9.555289167E-1,2.355788223E0,3.063515909E0,2.516322359E0,4.611588239E0
9.654839167E-1,1.303676198E0,1.668942112E0,2.855759075E0,3.555319859E0
9.754389167E-1,-2.017361759E-1,8.137570024E-2,2.943625184E0,2.951651862E0
9.853939167E-1,-1.235245503E0,-8.802228874E-1,2.943684826E0,3.311480656E0
9.953499167E-1,-1.501256831E0,-9.970783228E-1,2.472310367E0,3.059453514E0
1.005304917E0,-1.449824284E0,-5.179931402E-1,1.571150354E0,2.199731980E0
1.015259917E0,-1.376273035E0,5.578588718E-1,5.166015029E-1,1.572326652E0
